mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
42.30,4.61,-46.84,-0.61,0.00,0.43,-0.04,-0.03,1.00,idle
42.24,4.96,-48.07,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.26,5.32,-46.22,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.30,4.96,-46.18,-0.73,-0.06,0.49,-0.04,-0.03,1.00,idle
42.26,5.29,-45.35,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.61,5.11,-47.71,-0.79,0.00,0.55,-0.04,-0.03,1.00,idle
41.75,4.60,-45.78,-0.85,0.06,0.49,-0.04,-0.03,1.00,idle
41.75,4.75,-46.64,-0.73,0.00,0.31,-0.04,-0.03,1.00,idle
42.30,5.11,-47.12,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.76,5.31,-46.96,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.53,5.04,-45.85,-0.67,0.12,0.43,-0.04,-0.03,1.00,idle
42.55,5.07,-46.36,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
42.40,4.53,-47.67,-0.67,0.00,0.61,-0.04,-0.03,1.00,idle
42.33,5.03,-47.23,-0.61,0.00,0.24,-0.04,-0.03,1.00,idle
41.85,4.86,-46.36,-0.55,-0.06,0.37,-0.04,-0.03,1.00,idle
42.54,4.86,-47.78,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.60,4.81,-46.57,-0.79,0.00,0.61,-0.04,-0.03,1.00,idle
42.54,4.36,-45.98,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.76,4.70,-48.47,-0.85,-0.06,0.31,-0.04,-0.03,1.00,idle
42.37,4.85,-47.57,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.58,4.75,-46.15,-0.67,-0.18,0.43,-0.04,-0.03,1.00,idle
42.50,4.60,-47.69,-0.79,-0.06,0.55,-0.04,-0.03,1.00,idle
42.19,4.91,-47.27,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.76,5.37,-47.39,-0.67,0.12,0.43,-0.04,-0.03,1.00,idle
42.44,4.65,-47.46,-0.73,-0.12,0.49,-0.04,-0.03,1.00,idle
42.38,5.18,-47.05,-0.55,-0.06,0.49,-0.04,-0.03,1.00,idle
42.49,5.11,-46.66,-0.79,0.12,0.37,-0.04,-0.03,1.00,idle
42.64,4.90,-46.52,-0.61,0.06,0.43,-0.04,-0.03,1.00,idle
42.25,4.52,-46.56,-0.79,-0.12,0.55,-0.04,-0.03,1.00,idle
42.66,5.16,-46.07,-0.61,0.18,0.43,-0.04,-0.03,1.00,idle
42.36,4.49,-47.16,-0.73,0.12,0.49,-0.04,-0.03,1.00,idle
42.59,4.98,-47.39,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.05,4.59,-46.50,-0.67,-0.06,0.55,-0.04,-0.03,1.00,idle
42.64,4.70,-47.23,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
42.85,4.63,-46.75,-0.61,0.06,0.37,-0.04,-0.03,1.00,idle
42.54,4.61,-46.15,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.68,4.72,-47.56,-0.79,0.00,0.61,-0.04,-0.03,1.00,idle
42.69,4.72,-46.57,-0.79,0.06,0.55,-0.04,-0.03,1.00,idle
42.64,4.92,-47.44,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
42.35,4.52,-47.07,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.53,5.41,-47.13,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.03,4.72,-48.14,-0.67,0.00,0.31,-0.04,-0.03,1.00,idle
42.49,4.88,-47.86,-0.55,0.00,0.43,-0.04,-0.03,1.00,idle
42.76,4.70,-47.19,-0.73,0.12,0.55,-0.04,-0.03,1.00,idle
42.75,4.70,-47.28,-0.67,0.06,0.43,-0.04,-0.03,1.00,idle
42.15,4.38,-46.90,-0.79,0.06,0.37,-0.04,-0.03,1.00,idle
42.16,4.25,-47.00,-0.67,-0.12,0.43,-0.04,-0.03,1.00,idle
42.55,5.24,-46.79,-0.49,0.00,0.55,-0.04,-0.03,1.00,idle
42.49,4.61,-47.25,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.27,4.92,-47.22,-0.67,0.06,0.43,-0.04,-0.03,1.00,idle
42.38,4.88,-47.02,-0.85,0.00,0.55,-0.04,-0.03,1.00,idle
42.20,5.22,-46.30,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.40,5.08,-46.62,-0.55,-0.06,0.49,-0.04,-0.03,1.00,idle
41.70,4.96,-46.91,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.40,5.31,-47.12,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
41.98,4.39,-46.89,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.64,5.15,-47.03,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
42.70,4.59,-47.84,-0.98,-0.06,0.43,-0.04,-0.03,1.00,idle
42.36,4.97,-46.58,-0.85,0.00,0.61,-0.04,-0.03,1.00,idle
42.90,4.68,-47.18,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.54,5.09,-47.09,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.57,4.44,-46.83,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.52,4.49,-46.66,-0.73,0.12,0.43,-0.04,-0.03,1.00,idle
42.92,5.05,-46.66,-0.79,-0.06,0.49,-0.04,-0.03,1.00,idle
42.63,4.86,-48.29,-0.73,-0.06,0.31,-0.04,-0.03,1.00,idle
42.33,4.92,-46.40,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
42.35,4.77,-47.90,-0.73,0.06,0.31,-0.03,-0.03,1.00,idle
42.72,4.43,-48.14,-0.61,0.06,0.37,-0.04,-0.03,1.00,idle
42.27,4.49,-47.49,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.35,5.11,-46.86,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
42.30,4.92,-46.17,-0.55,0.12,0.43,-0.04,-0.03,1.00,idle
43.23,5.22,-47.81,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
